config,case,fit,syn,sem,sol,solMax
70-10-20,HumanoidLTL_741_Humanoid_unrealizable,0.72,0.22,nan,48,64
70-10-20,HumanoidLTL_742_Humanoid_unrealizable,0.72,0.19,nan,96,109
70-10-20,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-10-20,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-10-20,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.77,0.15,0.50,12,21
70-20-10,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.80,0.20,0.57,2,4
70-20-10,HumanoidLTL_531_Humanoid_unrealizable,0.84,0.19,0.95,50,74
70-20-10,HumanoidLTL_741_Humanoid_unrealizable,0.74,0.22,nan,69,96
70-20-10,HumanoidLTL_742_Humanoid_unrealizable,0.74,0.19,nan,99,105
70-20-10,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-20-10,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-20-10,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.76,0.16,0.36,4,5
80-10-10,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.87,0.19,0.50,3,4
80-10-10,HumanoidLTL_531_Humanoid_unrealizable,0.91,0.19,0.94,48,70
80-10-10,HumanoidLTL_741_Humanoid_unrealizable,0.82,0.22,nan,53,65
80-10-10,HumanoidLTL_742_Humanoid_unrealizable,0.82,0.19,nan,107,131
80-10-10,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-10-10,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-10-10,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.84,0.15,0.50,2,4
80-07-13,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.89,0.20,0.57,3,4
80-07-13,HumanoidLTL_531_Humanoid_unrealizable,0.94,0.19,0.98,86,109
80-07-13,HumanoidLTL_741_Humanoid_unrealizable,0.82,0.22,nan,67,77
80-07-13,HumanoidLTL_742_Humanoid_unrealizable,0.81,0.19,nan,100,108
80-07-13,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-07-13,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-07-13,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.83,0.15,0.50,2,2
90-05-05,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.94,0.20,0.56,2,4
90-05-05,HumanoidLTL_531_Humanoid_unrealizable,0.96,0.19,0.96,38,48
90-05-05,HumanoidLTL_741_Humanoid_unrealizable,0.91,0.22,nan,80,90
90-05-05,HumanoidLTL_742_Humanoid_unrealizable,0.91,0.19,nan,97,105
90-05-05,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
90-05-05,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
